,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,כמות המופעים של המילה לאורך השנים
replacement,2,2,0,6,3,3,2,3,24,10,4,4,9,7,1,12,13,10,13,10,9,17,26,25,24,39,25,17,65,27
replacements,0,0,0,0,0,0,0,0,0,0,1,1,0,27,12,32,0,31,3,0,10,0,2,1,3,1,2,0,0,9
replaces,2,4,1,2,1,5,6,3,5,8,2,5,3,1,5,7,4,5,9,9,9,12,12,21,16,24,21,28,22,26
replacing,7,3,1,6,17,7,3,11,19,17,16,19,22,28,13,19,39,33,28,47,42,44,58,68,73,85,106,86,124,28
replay,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,37,0,0,2,0,1,0,0,3,1,0,0,0,10,4
replica,1,0,2,1,0,15,26,5,7,17,11,37,24,20,16,26,25,12,22,0,0,1,47,12,3,15,23,6,1,21
replicas,2,0,3,0,0,0,7,1,0,1,4,0,8,7,3,8,5,3,4,0,0,1,0,1,0,28,0,6,1,13
replicate,3,3,4,5,3,2,2,4,12,1,2,2,3,3,1,1,1,11,3,7,13,4,7,3,3,11,11,12,19,25
replicated,5,0,4,10,14,0,6,6,2,3,4,3,7,4,9,3,5,9,8,4,7,6,37,8,9,57,22,13,11,27
replicates,1,0,1,0,0,0,0,0,13,10,5,9,6,0,1,1,4,11,5,8,7,4,4,6,7,9,4,9,3,18
replicating,4,0,2,0,2,0,0,1,1,3,0,5,4,2,0,1,2,2,1,3,6,1,2,8,3,4,2,5,2,18
replication,3,3,4,12,13,4,0,1,1,7,1,0,1,1,1,3,2,5,3,2,3,4,15,2,1,4,6,39,6,20
replications,2,6,0,1,2,0,2,2,2,7,0,0,0,3,0,4,5,6,2,10,7,8,7,1,10,6,12,13,3,21
report,65,72,85,102,117,71,83,79,102,83,93,113,98,108,80,134,178,138,124,161,177,242,261,282,330,368,330,416,339,29
reported,33,28,47,60,56,64,43,64,65,72,52,59,60,53,33,69,74,102,84,125,120,105,144,183,177,204,164,191,202,29
reporting,0,0,1,1,0,3,0,0,0,3,2,5,0,3,1,14,8,6,10,10,3,9,9,6,11,6,7,10,10,19
reports,9,3,3,9,4,6,9,4,12,9,11,11,6,4,7,23,24,23,26,14,13,15,19,28,28,42,40,28,39,29
repository,0,0,0,0,0,2,6,7,2,6,7,9,18,10,3,35,20,25,11,16,46,25,33,26,36,41,38,52,47,24
repre,6,7,5,13,9,11,17,17,15,6,19,7,19,3,4,6,1,0,0,25,22,28,29,19,35,38,37,40,0,25
represen,2,9,5,5,6,6,9,4,13,6,6,7,5,1,3,1,0,0,0,6,8,12,9,20,10,15,9,24,0,23
represent,107,102,99,110,125,128,145,113,136,113,120,129,122,90,91,153,187,217,198,220,252,277,270,294,303,369,323,417,357,29
representa,7,4,8,5,5,8,11,9,9,10,10,7,3,0,3,4,0,0,0,7,5,2,16,11,12,11,21,16,1,24
representable,1,0,0,1,0,0,0,0,7,4,4,3,2,0,2,0,5,3,6,3,18,1,3,5,21,8,11,8,2,18
representation,206,122,163,245,184,257,232,253,282,221,243,199,213,219,162,321,386,417,308,427,387,385,492,534,598,706,542,868,738,29
representational,5,6,6,18,6,12,9,12,18,15,13,6,10,6,5,22,21,10,8,13,11,17,10,12,16,16,21,18,20,29
representations,105,142,132,98,58,190,149,169,200,101,124,73,100,99,117,164,95,148,132,164,155,211,201,261,285,303,319,525,431,29
representative,10,4,16,14,9,8,12,5,12,14,17,26,21,7,6,21,26,41,33,47,34,48,80,52,68,135,106,95,62,29
representativeness,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,15,72,2,1,3,1,5
representatives,1,0,0,1,1,0,2,0,0,0,3,6,0,0,1,0,3,5,2,7,3,1,3,5,6,130,5,4,4,15
represented,103,73,57,126,110,110,101,91,115,89,102,82,125,96,71,143,139,163,153,161,181,203,252,260,241,272,279,315,283,29
representer,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,7,3,9,9,20,9,21,9,15,6,49,23,9,12,15
representing,57,53,60,63,55,57,65,58,61,65,39,61,57,53,33,66,93,79,95,109,77,143,112,130,113,171,162,147,160,29
represents,63,59,88,90,102,84,103,101,98,81,75,89,78,74,64,93,138,141,191,150,175,202,241,176,194,271,271,292,276,29
reproduce,3,7,8,20,13,13,3,17,9,12,11,8,3,4,3,11,9,8,11,13,14,8,8,19,17,22,33,21,22,29
reproduced,2,7,5,11,6,6,2,3,3,2,5,3,1,2,2,3,4,5,11,6,5,7,5,11,5,7,9,6,5,28
reproduces,3,3,0,9,3,1,2,1,5,2,2,2,5,1,5,1,1,4,2,7,9,1,6,14,7,4,5,4,2,22
reproducing,1,1,2,2,0,0,3,2,0,2,3,5,11,12,7,19,16,27,28,43,28,47,36,65,50,47,58,33,57,24
reproduction,2,7,0,10,0,1,2,1,0,7,0,0,1,3,0,8,0,0,8,2,3,55,0,1,2,4,5,3,1,15
reps,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,35,7,25,5
repulsion,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,21,1,1,0,4,4,0,14,9,5,4,8
repulsive,1,2,0,3,0,0,1,0,5,0,4,0,0,0,0,0,2,7,10,0,3,8,2,9,1,62,14,7,17,15
request,0,0,2,2,1,21,3,2,2,10,2,4,2,3,2,0,2,22,1,2,24,11,6,26,13,4,17,6,12,24
requested,1,0,2,0,1,1,1,4,1,6,3,0,4,2,3,0,0,4,1,2,12,5,8,6,19,3,7,7,2,18
requests,0,0,2,2,3,1,3,0,2,11,3,0,6,1,0,0,3,4,0,1,29,2,3,24,20,4,19,5,12,19
require,56,61,57,62,81,62,76,53,70,85,68,67,60,63,58,99,143,129,155,123,202,217,251,311,279,358,404,443,506,29
required,121,113,121,146,155,110,136,130,139,109,113,100,95,98,111,119,156,159,162,193,205,242,238,265,283,339,315,384,395,29
requirement,20,14,11,13,16,15,22,9,9,12,18,15,15,13,10,19,22,30,36,34,44,43,43,51,47,59,67,115,99,29
requirements,50,19,31,26,11,13,25,29,26,19,12,21,14,19,15,17,11,48,24,20,28,35,35,62,26,47,38,55,70,29
requires,66,60,68,68,74,70,80,81,97,95,89,97,79,84,84,132,186,146,162,213,210,278,289,337,384,425,497,588,638,29
requiring,14,19,10,19,18,10,16,15,11,12,22,15,23,11,9,24,26,35,24,32,31,40,42,53,60,70,68,85,73,29
res,31,11,12,6,19,16,11,18,5,21,21,19,16,11,12,37,27,8,55,29,48,45,38,43,55,53,53,57,51,29
resample,0,0,0,0,0,0,1,0,1,10,0,2,1,2,1,0,12,2,6,7,8,10,15,7,6,16,10,7,20,16
resampled,1,0,0,0,0,1,3,3,5,1,4,2,13,1,1,3,2,5,11,8,11,7,14,2,6,8,9,5,14,20
resampling,0,0,0,0,0,4,1,1,11,20,12,11,3,5,30,12,27,7,40,23,71,65,36,11,11,87,24,46,37,22
rescal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,9,33,1,3
rescale,0,0,0,0,0,2,0,2,1,1,0,2,1,3,2,3,1,4,1,6,4,2,10,3,5,7,3,5,11,17
rescaled,1,0,1,2,4,0,4,0,1,4,5,3,7,10,3,4,10,10,10,6,6,37,46,25,49,50,17,30,29,23
rescaling,2,1,0,2,1,1,2,1,3,5,1,3,18,25,3,15,26,7,8,12,10,12,55,78,33,20,15,20,52,23
rescorla,0,4,0,1,0,2,1,0,0,0,4,0,3,3,4,4,3,34,34,0,4,8,0,0,0,0,0,0,0,12
research,143,159,184,210,212,184,198,184,198,169,156,173,176,166,111,194,269,298,303,315,366,420,605,644,678,904,905,981,985,29
researcher,1,0,1,0,1,0,2,2,0,0,0,0,0,0,1,1,0,2,3,2,0,2,3,1,13,6,4,5,10,12
researchers,14,14,11,14,18,14,31,8,20,6,15,24,19,11,11,14,15,27,20,25,23,27,49,46,44,40,42,30,69,29
resemblance,5,2,1,4,2,2,0,0,3,1,2,1,3,0,2,1,2,5,2,11,6,3,4,21,15,8,56,9,7,22
resemble,6,0,2,6,2,2,4,6,3,5,4,2,3,6,2,7,4,8,9,13,13,8,10,10,8,14,29,12,12,28
resembles,4,5,9,7,7,7,2,5,4,4,7,8,6,3,2,10,12,3,5,10,15,13,15,9,17,16,22,26,22,29
resembling,0,5,2,2,1,0,6,1,1,0,6,2,1,5,1,0,3,2,3,6,2,5,2,1,3,6,10,4,3,19
resentation,1,1,3,5,2,4,5,4,3,4,1,4,4,4,3,1,1,0,0,3,3,10,7,6,11,5,4,6,0,21
resentations,0,1,3,0,3,1,4,2,3,2,3,1,4,3,3,0,0,0,0,3,4,1,3,4,3,7,3,10,0,18
reserve,0,1,2,3,0,0,3,0,0,1,0,1,0,5,0,0,0,3,0,2,1,0,3,2,3,3,12,25,19,13
reservoir,0,0,2,1,0,1,1,0,0,0,2,0,0,0,0,10,1,1,1,1,0,20,0,63,6,83,40,21,3,10
reset,11,10,7,11,9,20,10,4,21,8,8,12,5,0,10,7,12,23,31,11,10,16,14,48,14,18,10,8,14,28
resets,3,0,0,2,0,3,0,1,5,1,1,1,1,0,0,0,5,2,2,3,1,4,1,1,1,10,3,0,2,12
reside,1,0,0,2,2,1,0,0,3,0,1,2,2,0,0,0,2,1,4,2,5,2,7,2,4,8,8,12,3,17
resides,0,1,1,5,0,0,4,0,1,2,2,2,0,0,1,2,2,5,2,1,9,3,5,5,3,5,7,2,2,18
residual,0,1,8,9,13,25,24,43,17,19,47,21,19,23,16,17,28,38,31,32,56,64,58,73,83,74,87,133,91,27
residuals,0,0,0,2,6,5,16,9,5,31,10,6,11,3,11,13,9,0,18,8,6,34,19,14,8,6,31,43,21,25
residue,0,0,2,11,0,2,0,0,0,0,0,2,0,0,1,0,1,15,2,2,14,12,4,7,3,28,1,2,2,15
residues,0,0,6,7,0,6,1,0,0,0,0,0,0,0,0,0,0,7,0,1,13,13,7,10,11,14,0,1,5,11
resistance,33,22,8,8,18,9,7,20,6,6,3,6,1,2,1,4,8,3,4,53,0,48,4,33,58,17,15,6,14,26
resistances,3,7,2,2,2,4,2,1,2,1,0,0,1,0,0,0,0,0,1,1,0,8,0,5,25,0,10,0,4,13
resistant,4,0,1,2,0,2,3,1,3,2,0,0,1,0,0,0,2,3,3,7,1,3,2,2,3,4,1,2,1,16
resistive,36,6,18,32,16,6,11,10,36,2,0,18,0,0,0,0,1,0,4,0,0,2,0,0,4,8,0,1,0,15
resistor,21,15,10,2,13,3,1,4,1,0,11,4,8,0,0,0,4,0,1,1,0,4,6,2,2,0,0,0,0,15
resistors,24,10,6,15,7,4,0,2,1,0,8,2,2,0,0,0,1,0,2,1,0,4,0,4,0,0,0,0,0,13
resolution,9,80,22,47,63,55,106,79,40,28,43,83,55,43,28,194,150,79,124,157,57,108,92,106,81,52,74,130,166,29
resolutions,0,2,0,5,1,6,5,12,5,3,10,9,4,6,1,5,7,4,13,19,3,14,13,4,3,6,4,9,7,25
resolve,3,1,4,8,11,8,7,1,7,3,5,7,7,2,7,8,10,4,10,9,12,14,6,9,20,15,31,23,37,27
resolved,0,2,1,9,5,3,8,2,8,6,5,2,8,5,5,22,16,7,7,7,2,6,8,9,16,5,4,5,16,27
resolves,0,1,1,1,2,1,0,1,0,0,1,1,1,2,3,2,3,1,1,9,4,3,3,7,4,8,3,7,11,15
resolving,2,1,0,1,6,3,9,0,2,0,5,0,1,0,0,4,2,6,3,6,6,4,2,1,3,6,8,6,14,19
resonance,3,17,4,1,32,9,0,2,4,1,5,1,31,2,3,3,4,8,12,13,6,11,22,20,7,14,13,9,6,25
resort,1,0,1,0,3,1,0,5,5,0,3,6,3,3,1,10,6,11,3,12,13,12,10,26,23,34,27,35,27,21
resorting,1,2,0,3,1,1,0,1,3,0,1,2,4,3,1,5,3,3,1,4,5,2,2,4,6,5,6,13,8,19
resource,5,6,2,12,6,39,10,22,45,10,9,11,5,9,10,1,41,11,16,8,11,16,35,19,9,29,13,43,61,28
resources,4,9,20,24,8,21,12,7,11,6,17,14,7,12,28,11,30,12,40,14,30,32,36,22,26,50,39,94,74,29
resp,5,5,1,4,4,18,3,0,2,12,5,5,3,4,6,7,7,13,41,14,22,28,38,25,21,44,49,38,75,27
respec,0,1,1,1,4,3,3,1,2,4,5,6,3,1,0,3,1,0,0,6,9,3,10,7,7,17,13,11,0,18
respect,49,38,59,78,118,111,122,109,123,139,169,158,142,121,126,267,316,273,230,342,346,386,445,482,448,657,620,583,710,29
respective,9,12,3,8,4,5,17,9,21,15,12,8,11,23,8,25,26,27,45,38,34,38,28,59,70,66,67,61,74,29
respectively,56,42,52,72,99,76,82,125,99,103,136,142,141,108,92,125,201,235,234,241,303,350,365,467,466,582,555,683,650,29
respects,3,2,4,4,0,2,3,6,4,3,3,5,1,1,4,6,4,18,11,6,7,7,12,5,13,13,10,11,13,26
respond,24,30,12,21,17,26,25,21,25,22,32,16,12,11,12,16,13,11,18,23,18,24,21,14,20,32,17,16,11,29
responded,5,7,5,5,2,1,2,3,4,6,4,3,2,1,6,3,2,0,4,3,3,2,6,0,2,5,2,2,4,25
responding,5,4,10,7,5,4,2,5,4,8,12,7,9,9,25,10,12,17,33,8,17,28,21,19,10,21,13,25,6,29
responds,7,8,4,7,6,13,5,6,9,5,18,8,7,4,8,7,9,2,6,8,7,8,10,6,12,17,5,13,7,29
response,234,173,193,270,292,216,107,232,193,208,272,235,253,151,149,356,343,217,358,229,352,364,369,412,292,439,288,322,385,29
responses,77,57,43,103,96,100,44,71,57,98,161,89,113,102,38,253,175,94,252,67,171,173,249,271,206,242,175,157,178,29
responsibilities,0,0,0,5,2,0,2,2,2,2,5,12,2,3,2,13,4,4,12,8,3,23,0,1,0,3,1,7,0,20
responsibility,0,0,4,2,8,2,2,6,3,5,1,28,5,0,1,10,0,2,7,13,2,7,0,1,4,7,1,3,4,20
responsible,12,10,6,13,16,8,10,11,20,7,9,11,9,12,6,9,18,17,18,19,10,13,12,11,9,31,11,17,19,29
responsive,4,1,8,2,3,0,5,1,1,0,7,0,1,0,2,4,6,2,0,3,3,4,4,4,1,0,1,0,3,16
rest,14,19,15,9,29,18,30,25,20,30,25,25,21,30,23,51,59,81,70,74,62,87,116,159,147,173,147,175,215,29
restart,1,3,2,1,3,21,1,0,0,4,0,1,1,0,0,0,3,8,3,4,1,3,6,1,5,8,13,8,18,16
restarting,1,0,0,0,0,7,1,0,1,0,1,1,0,0,0,0,0,0,1,2,0,4,1,0,1,4,1,20,5,6
restarts,0,0,0,1,0,16,3,3,1,1,1,0,0,1,3,3,8,5,2,2,8,11,7,7,15,11,10,17,14,18
restaurant,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,35,12,19,12,18,14,31,55,44,35,36,56,16,14
resting,20,11,11,11,5,9,2,4,3,8,1,10,4,0,1,3,10,2,7,11,2,5,62,43,14,11,11,2,8,26
restoration,7,22,3,0,8,1,5,8,3,4,4,2,5,15,1,3,5,7,7,15,6,6,10,17,7,6,17,31,36,26
restore,1,3,1,0,1,2,0,2,0,2,3,2,1,0,0,2,3,1,0,6,2,1,1,9,7,6,2,8,6,16
restored,3,3,1,2,7,1,3,5,1,0,1,0,0,2,0,0,2,1,3,3,1,1,1,5,6,1,3,6,1,14
restrict,15,2,3,8,16,5,13,13,12,20,16,18,21,19,9,28,35,39,41,45,39,45,62,59,43,65,77,80,77,29
restricted,31,14,23,37,25,29,42,26,31,29,42,42,77,45,37,37,63,51,52,73,96,97,150,211,227,216,274,304,302,29
restricting,5,3,3,6,3,5,5,6,5,4,6,5,3,7,4,5,11,14,18,14,18,16,18,26,30,17,40,28,47,29
restriction,10,7,7,11,13,8,16,12,11,24,8,15,21,22,3,19,12,19,32,24,25,43,58,56,45,39,68,71,58,29
restrictions,16,2,4,9,11,7,14,4,5,6,7,3,14,8,4,14,11,15,14,13,9,17,20,36,40,31,23,38,33,29
restrictive,2,3,5,4,5,2,3,2,7,4,10,2,4,1,6,4,9,18,13,18,17,7,24,36,37,55,54,43,48,28
restricts,2,2,1,0,4,3,2,3,2,2,1,1,2,4,1,3,6,3,10,6,5,1,10,11,8,8,10,16,24,23
rests,1,0,1,5,1,1,4,0,2,1,1,0,3,1,1,2,3,4,4,2,2,1,5,3,2,2,4,9,6,17
result,179,92,109,172,199,202,194,188,211,236,209,258,247,256,202,275,397,441,439,420,544,626,704,855,899,1035,1184,1337,1392,29
resultant,6,7,2,3,6,11,1,4,4,4,4,1,1,2,2,7,3,1,7,11,3,5,10,16,12,15,7,7,8,25
resulted,4,16,7,18,14,13,10,21,6,10,11,14,2,21,11,5,15,14,16,18,16,24,18,31,28,33,31,27,23,29
resulting,77,65,78,98,105,78,96,143,125,139,135,148,152,155,99,164,238,272,240,250,257,302,322,389,432,488,428,445,481,29
results,360,305,337,498,561,523,565,695,720,755,626,710,702,651,557,737,1029,1200,1146,1237,1508,1603,2084,2130,2164,2628,2570,3109,3005,29
ret,0,0,0,0,0,7,0,0,0,7,19,3,10,0,0,2,1,3,0,4,0,2,1,1,5,0,0,2,2,12
retain,2,2,6,11,6,7,6,7,5,6,12,7,10,6,0,5,3,10,6,16,17,21,19,18,18,24,32,30,26,28
retained,3,0,1,5,7,1,3,13,4,5,18,11,7,7,4,6,13,9,8,6,23,8,13,19,19,17,13,16,9,26
retaining,1,2,4,6,0,5,1,4,5,3,1,8,5,3,5,8,10,5,10,10,8,16,11,13,11,22,18,24,21,25
retains,1,2,1,4,0,4,3,4,5,2,2,3,3,6,1,8,9,3,8,8,5,8,10,8,14,14,9,15,13,25
retention,0,6,1,0,1,1,2,10,0,1,3,1,12,0,3,0,3,0,1,2,2,2,55,0,1,1,2,9,0,13
retical,0,1,1,1,1,0,2,0,0,0,0,0,3,2,1,0,1,1,0,5,4,1,1,8,5,4,4,6,0,10
retina,9,35,27,73,82,33,83,25,77,28,44,14,40,10,32,17,31,12,80,48,11,15,20,15,28,35,12,20,26,29
retinal,3,23,48,42,51,27,11,44,57,17,34,6,24,9,13,23,33,5,29,38,27,14,8,19,33,35,24,6,20,29
retinex,5,1,0,11,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,29,0,4,0,3,6
retinotopic,6,2,4,7,22,5,3,13,20,0,3,1,3,31,1,0,3,0,9,0,2,1,4,0,0,6,1,0,0,17
retrain,0,4,1,0,0,3,0,2,1,0,2,0,0,1,0,0,6,0,2,0,2,1,0,4,9,0,2,3,16,12
retrained,0,4,4,2,5,2,2,6,0,6,3,2,1,2,1,1,1,0,0,0,2,3,6,1,4,2,11,2,7,19
retraining,3,3,12,5,9,14,15,9,21,6,2,2,0,2,3,4,4,2,3,3,8,2,3,3,3,3,6,5,34,28
retrieval,27,10,2,51,7,8,15,30,6,23,97,57,56,16,24,78,43,101,32,86,124,113,205,80,136,214,163,170,158,29
retrieve,8,1,0,3,3,1,4,1,1,0,8,5,7,6,3,3,16,4,4,6,10,15,12,17,15,27,19,23,11,23
retrieved,5,5,0,14,2,0,4,6,3,1,9,2,7,3,3,4,8,23,0,10,31,15,28,24,14,32,20,29,23,25
retrieving,4,1,0,1,0,1,2,0,6,0,4,5,2,2,2,2,3,3,5,3,6,4,11,5,9,7,15,13,8,22
retrospective,0,0,0,0,0,0,0,0,0,1,0,4,0,1,1,0,7,3,1,1,9,14,1,3,6,5,4,3,6,11
return,6,10,28,11,14,5,16,20,49,41,38,49,43,28,60,23,89,42,63,87,98,109,98,181,240,163,221,230,386,29
returned,2,0,1,3,1,2,2,8,4,6,8,16,10,3,3,9,14,15,23,32,28,37,61,36,47,43,56,72,59,26
returning,3,1,3,3,1,0,0,2,0,2,1,0,1,5,2,3,10,3,6,6,6,11,13,8,18,23,17,15,41,21
returns,9,3,4,10,9,3,10,6,39,16,13,33,20,24,34,19,41,22,28,30,57,70,67,62,104,103,92,148,198,29
reuse,0,1,0,0,1,4,0,1,1,10,1,0,6,2,2,0,6,1,2,4,8,10,6,10,11,8,22,14,28,17
reused,0,0,0,0,0,2,1,3,2,1,0,1,1,1,1,0,0,2,4,3,4,1,2,3,2,5,6,5,7,14
reusing,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,1,2,0,2,1,0,5,2,4,5,4,7,16,11
reuters,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,4,4,8,18,5,16,13,24,7,21,13,3,28,11,17
rev,29,17,15,21,23,17,12,12,15,24,31,26,18,22,16,20,16,40,32,7,17,28,22,25,23,25,24,21,25,29
reveal,8,4,5,7,4,3,12,8,5,7,6,3,10,9,3,7,12,13,13,21,28,29,50,40,34,47,37,48,41,29
revealed,3,3,6,14,8,7,12,13,6,10,8,7,6,5,6,7,18,16,21,18,24,41,46,53,97,41,58,56,63,29
revealing,2,1,3,1,3,0,0,1,1,5,2,1,5,0,2,4,2,3,8,7,8,5,5,4,14,18,22,5,19,21
reveals,8,6,7,6,16,8,10,10,7,16,12,8,10,8,9,14,23,19,18,16,21,33,28,44,50,53,52,68,59,29
revenue,0,0,0,0,0,0,0,0,0,0,4,20,13,2,0,0,1,6,0,24,3,5,32,3,1,2,73,33,76,14
reverberation,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,29,4,5,9,1,0,0,1,0,1,0,2,2,7
reversal,6,2,5,14,3,15,3,0,2,2,4,14,3,1,1,5,3,4,8,10,0,7,3,9,6,5,1,1,4,23
reverse,9,11,5,5,18,7,3,5,8,8,17,3,19,8,4,21,14,15,37,26,16,33,19,66,22,21,52,29,73,29
reversed,3,11,2,6,6,6,5,11,2,4,3,6,7,5,5,7,12,6,8,5,4,6,15,6,10,10,3,27,14,29
reversible,2,1,1,0,0,2,0,8,4,2,21,0,25,9,2,2,5,1,9,11,14,21,11,62,19,27,14,11,28,22
reversing,1,2,3,3,4,0,1,3,1,0,2,0,0,4,2,2,1,2,1,1,1,2,1,4,1,7,0,9,6,15
review,20,25,15,31,33,37,30,37,27,39,70,52,46,35,42,61,60,76,77,83,92,134,142,140,155,177,194,244,241,29
reviewed,7,1,1,6,3,3,8,4,4,2,7,4,3,2,6,1,6,4,5,3,3,4,3,12,8,11,5,6,8,26
reviewers,0,0,0,0,0,1,0,2,1,1,1,1,2,3,1,6,8,2,8,8,9,13,27,23,26,34,33,37,32,17
reviewing,1,0,1,0,0,0,0,2,1,2,2,1,1,0,0,2,1,1,2,2,3,2,6,5,7,5,7,10,10,15
reviews,3,2,2,0,3,3,5,2,4,1,7,3,6,4,10,7,5,14,8,13,17,25,13,27,26,39,63,32,52,27
revised,1,1,2,3,5,5,1,0,1,1,3,4,1,2,2,3,3,1,4,4,4,9,6,2,5,2,6,10,6,21
revision,0,0,0,0,1,3,1,0,0,2,1,1,3,0,1,2,3,4,3,0,1,1,17,9,1,2,4,4,3,13
revisit,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,9,2,2,2,3,2,4,9,15,14,15,11
revisited,1,0,0,0,2,1,0,1,1,2,1,3,1,0,2,7,5,6,5,1,3,13,8,11,12,12,19,21,26,17
revisiting,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,3,1,0,0,1,5,8,14,21,6
revow,0,0,0,0,4,0,0,20,7,1,6,3,5,2,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,8
reward,19,1,6,15,13,34,24,39,45,50,81,130,118,166,272,90,318,204,210,151,334,471,312,698,549,647,664,446,423,28
rewarded,8,0,1,0,1,4,0,1,1,0,0,4,2,2,1,7,5,2,7,2,6,6,3,1,1,2,4,10,5,17
rewarding,1,1,2,0,1,0,2,0,0,0,1,1,1,2,1,1,0,3,1,0,6,1,3,3,16,1,2,3,3,11
rewards,1,0,3,7,2,10,17,17,17,12,23,36,39,50,72,27,94,56,63,64,68,152,86,150,154,132,141,158,116,27
reweighted,0,1,0,0,0,0,4,3,0,0,0,0,1,0,0,15,1,1,24,17,17,12,49,25,39,32,14,93,48,14
reweighting,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,3,2,0,29,13,10,19,11,7,5,13,13,7,14
rewrite,7,3,4,0,2,9,2,7,4,6,8,13,12,10,8,20,23,16,20,42,21,51,29,28,44,46,46,48,36,28
rewriting,2,1,3,1,0,0,1,0,1,4,3,2,3,1,4,7,6,2,1,9,1,12,4,10,2,10,8,8,10,19
rewritten,4,5,4,6,3,6,4,10,1,8,4,11,8,6,3,9,13,21,9,28,17,18,15,22,24,47,28,45,19,28
rgm,0,0,0,1,0,0,0,2,1,0,2,0,0,2,0,1,0,1,0,0,0,2,3,1,2,3,8,11,11,10
rhs,1,1,1,4,0,4,0,3,2,1,12,5,2,1,2,17,7,14,5,5,27,22,17,27,12,24,22,24,23,22
rhythm,6,4,19,3,12,10,17,3,0,0,21,2,0,0,11,1,6,5,40,13,13,6,1,7,1,1,9,30,0,20
rhythmic,1,13,19,1,5,6,9,0,1,0,25,0,4,5,12,1,3,2,2,5,0,1,0,3,0,0,9,21,1,16
rhythms,1,1,12,2,7,0,2,6,0,0,9,2,1,0,1,0,1,2,15,5,5,4,4,2,0,4,3,26,0,17
ric,2,0,1,1,1,1,4,0,3,3,2,2,2,3,3,4,1,1,0,4,2,7,8,5,11,10,15,14,1,19
rica,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,35,1,21,1,0,2
rice,0,1,0,0,0,1,0,1,0,3,2,0,1,0,0,2,3,6,11,2,3,6,5,2,4,12,41,2,2,16
rich,4,5,7,6,6,7,2,19,7,21,19,5,12,14,7,23,24,27,24,46,28,48,35,80,65,67,85,117,88,29
richard,8,9,16,20,18,16,17,34,11,8,7,8,7,15,8,6,10,10,9,16,11,16,15,24,25,31,43,51,70,29
richardson,0,0,0,0,0,0,0,0,0,3,7,2,12,4,4,3,1,2,5,8,9,3,9,11,14,7,15,20,27,19
richer,3,0,1,4,8,5,2,3,1,0,9,7,1,2,3,8,10,18,10,9,20,16,13,37,35,27,24,28,33,24
richness,0,1,3,0,1,0,1,1,0,1,0,1,2,0,2,10,1,1,7,6,3,14,4,34,4,3,4,3,7,15
rid,7,0,0,1,2,0,3,2,2,2,0,3,2,0,0,2,2,0,3,1,2,0,6,1,3,4,3,5,6,18
ride,1,0,0,1,0,0,0,0,0,0,0,7,1,0,1,2,0,1,0,0,0,1,1,0,0,5,0,1,36,4
ridge,5,5,3,2,26,10,5,2,43,19,17,42,32,6,7,48,22,19,16,31,28,36,84,41,53,72,52,98,59,29
ridges,1,0,0,0,0,0,0,0,12,3,2,1,0,0,0,0,4,0,8,0,0,0,1,1,1,0,0,0,29,6
riding,1,0,0,0,0,2,2,0,1,0,0,0,2,1,0,0,1,1,1,0,0,1,0,0,13,15,5,3,2,8
rieke,0,0,5,6,1,0,0,0,5,9,15,0,1,3,0,2,1,3,0,0,0,0,1,3,2,3,0,2,0,12
riemannian,0,0,0,0,0,0,0,0,0,23,15,3,8,1,3,16,11,1,5,7,4,14,67,50,36,88,68,45,70,18
riffle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,4,0,3,0,3
right,96,112,81,140,182,125,207,176,223,136,261,214,236,179,183,220,428,435,389,429,433,524,538,565,532,710,649,625,680,29
rightmost,0,2,1,3,2,3,1,2,8,2,2,6,4,3,3,6,10,6,6,7,6,14,10,11,6,8,11,11,9,26
rightward,4,0,0,0,6,5,1,4,6,2,1,1,9,5,0,4,0,8,1,1,0,0,3,0,0,11,0,0,0,12
rigid,9,3,3,11,16,7,25,13,33,3,10,14,6,6,2,32,40,50,5,41,14,40,11,42,7,33,81,53,11,29
